School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
FREDERICK DOUGLASS ELEMENTARY SCHOOL,LOUISIANA,LA ,2.20084E+11,Jefferson Parish,1-Regular school,2-No,2-No,–,21-Suburb: Large,306,21,14.57,Prekindergarten,5th Grade,Elementary
FREDERICK DOUGLASS HIGH,Maryland,MD ,2.40009E+11,Baltimore City Public Schools,1-Regular school,2-No,2-No,2-No,11-City: Large,769,44,17.48,9th Grade,12th Grade,High
FREDERICK DOUGLASS HIGH,Maryland,MD ,2.40051E+11,Prince George's County Public Schools,1-Regular school,2-No,1-Yes,2-No,41-Rural: Fringe,1033,59,17.51,9th Grade,12th Grade,High
FREDERICK DOUGLASS HIGH,Missouri,MO ,2.901E+11,COLUMBIA 93,4-Alternative/other school,2-No,2-No,1-Yes,12-City: Mid-size,178,16.42,10.84,Prekindergarten,12th Grade,Other
FREDERICK DOUGLASS HIGH SCHOOL,KENTUCKY,KY ,2.10186E+11,Fayette County,1-Regular school,2-No,1-Yes,2-No,11-City: Large,1446,82.4,17.55,9th Grade,12th Grade,High
FREDERICK DOUGLASS HIGH SCHOOL,Ohio,OH ,3.90142E+11,Frederick Douglass High School,1-Regular school,1-Yes,–,2-No,11-City: Large,129,6,21.5,9th Grade,11th Grade,Secondary
FREDERICK DOUGLASS MASTERY CHARTER SCHOO,Pennsylvania,PA ,4.20083E+11,Frederick Douglass Mastery Charter School,1-Regular school,1-Yes,2-No,2-No,11-City: Large,698,39,17.9,Kindergarten,8th Grade,Elementary
FREDERICK DOUGLASS SCHOOL,Ohio,OH ,3.90438E+11,Cincinnati Public Schools,1-Regular school,2-No,–,2-No,11-City: Large,300,47.4,6.33,Prekindergarten,6th Grade,Elementary
FREDERICK DOUGLASS SCHOOL 19,Indiana,IN ,1.80477E+11,Indianapolis Public Schools,1-Regular school,2-No,2-No,2-No,11-City: Large,483,45,10.73,Prekindergarten,8th Grade,Elementary
FREDERICK ELEMENTARY,Maryland,MD ,2.40009E+11,Baltimore City Public Schools,1-Regular school,1-Yes,2-No,2-No,11-City: Large,394,29.5,13.36,Prekindergarten,5th Grade,Elementary
FREDERICK ELEMENTARY - 02,South Dakota,SD ,4.6214E+11,Frederick Area School District 06-2,1-Regular school,†,†,2-No,43-Rural: Remote,75,10.03,7.48,Kindergarten,6th Grade,Elementary
FREDERICK ES,Oklahoma,OK ,4.01215E+11,FREDERICK,1-Regular school,2-No,†,2-No,32-Town: Distant,437,24.87,17.57,Prekindergarten,5th Grade,Elementary
FREDERICK FRAIZE HIGH SCHOOL,Kentucky,KY ,2.10129E+11,Cloverport Independent,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,114,6.54,17.43,9th Grade,12th Grade,High
FREDERICK FRAIZE MIDDLE SCHOOL,Kentucky,KY ,2.10129E+11,Cloverport Independent,1-Regular school,2-No,2-No,2-No,42-Rural: Distant,83,5.82,14.26,6th Grade,8th Grade,Middle
FREDERICK H. TUTTLE MIDDLE SCHOOL,Vermont,VT ,5.00747E+11,South Burlington School District,1-Regular school,†,2-No,2-No,13-City: Small,563,41.05,13.71,6th Grade,8th Grade,Middle
FREDERICK HARRIS,Massachusetts,MA ,2.51113E+11,Springfield,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,654,45,14.53,Prekindergarten,5th Grade,Elementary
FREDERICK HIGH,Maryland,MD ,2.40033E+11,Frederick County Public Schools,1-Regular school,2-No,2-No,2-No,13-City: Small,1508,80.5,18.73,9th Grade,12th Grade,High
FREDERICK HIGH SCHOOL - 01,South Dakota,SD ,4.6214E+11,Frederick Area School District 06-2,1-Regular school,†,†,2-No,43-Rural: Remote,49,4.75,10.32,9th Grade,12th Grade,High
FREDERICK HS,Oklahoma,OK ,4.01215E+11,FREDERICK,1-Regular school,2-No,†,2-No,32-Town: Distant,233,16.07,14.5,9th Grade,12th Grade,High
FREDERICK J DUTILE,Massachusetts,MA ,2.50267E+11,Billerica,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,243,18.63,13.04,Kindergarten,4th Grade,Elementary
FREDERICK JOYCE ELEMENTARY,California,CA ,060133205096,Twin Rivers Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,569,–,†,Kindergarten,8th Grade,Elementary
FREDERICK JR. HIGH - 03,South Dakota,SD ,4.6214E+11,Frederick Area School District 06-2,1-Regular school,†,†,2-No,43-Rural: Remote,34,2.34,14.53,7th Grade,8th Grade,Middle
FREDERICK LAW OLMSTED ACADEMY NORTH,Kentucky,KY ,2.10299E+11,Jefferson County,1-Regular school,2-No,1-Yes,2-No,11-City: Large,660,43.6,15.14,6th Grade,8th Grade,Middle
FREDERICK LAW OLMSTED ACADEMY SOUTH,Kentucky,KY ,2.10299E+11,Jefferson County,1-Regular school,2-No,1-Yes,2-No,11-City: Large,794,50.6,15.69,6th Grade,8th Grade,Middle
FREDERICK MS,Oklahoma,OK ,4.01215E+11,FREDERICK,1-Regular school,2-No,†,2-No,32-Town: Distant,180,12.88,13.98,6th Grade,8th Grade,Middle
FREDERICK NERGE ELEM SCHOOL,Illinois,IL ,1.73474E+11,Schaumburg CCSD 54,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,674,44.25,15.23,Kindergarten,6th Grade,Elementary
FREDERICK OLMSTED #156,New York,NY ,3.60585E+11,BUFFALO CITY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,11-City: Large,858,81,10.59,5th Grade,12th Grade,High
FREDERICK POST KINDER CENTER,Idaho,ID ,1.60267E+11,POST FALLS DISTRICT,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,295,8.5,34.71,Prekindergarten,2nd Grade,Elementary
FREDERICK R. DOUGLASS ELEMENTARY,Florida,FL ,1.20039E+11,MIAMI-DADE,1-Regular school,2-No,2-No,2-No,11-City: Large,240,16,15,Prekindergarten,5th Grade,Elementary
FREDERICK SCHOOL,Illinois,IL ,1.71752E+11,Grayslake CCSD 46,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,636,43.5,14.62,5th Grade,6th Grade,Middle
FREDERICK SENIOR HIGH SCHOOL,Colorado,CO ,080537000902,St. Vrain Valley School District No. Re1J,1-Regular school,2-No,2-No,2-No,31-Town: Fringe,1181,54,21.87,9th Grade,12th Grade,High
FREDERICK V PANKOW CENTER,Michigan,MI ,2.62187E+11,L'Anse Creuse Public Schools,3-Vocational school,2-No,2-No,2-No,21-Suburb: Large,0,28.42,0.00,9th Grade,12th Grade,High
FREDERICK W. HARTNETT MIDDLE SCHOOL,Massachusetts,MA ,2.50272E+11,Blackstone-Millville,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,409,28.25,14.48,6th Grade,8th Grade,Middle
FREDERICKSBURG EL,Texas,TX ,4.81984E+11,FREDERICKSBURG ISD,1-Regular school,2-No,2-No,–,33-Town: Remote,845,52.21,16.18,2nd Grade,5th Grade,Elementary
FREDERICKSBURG EL SCH,Pennsylvania,PA ,4.21764E+11,Northern Lebanon SD,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,193,16.55,11.66,1st Grade,5th Grade,Elementary
FREDERICKSBURG ELEM SCHOOL,IOWA,IA ,1.9276E+11,Sumner-Fredericksburg Comm School District,1-Regular school,2-No,†,2-No,42-Rural: Distant,166,11.88,13.97,Prekindergarten,5th Grade,Elementary
FREDERICKSBURG ELEMENTARY SCHOOL,Ohio,OH ,3.90506E+11,Southeast Local,1-Regular school,2-No,–,2-No,42-Rural: Distant,128,9.4,13.62,Kindergarten,8th Grade,Elementary
FREDERICKSBURG H S,Texas,TX ,4.81984E+11,FREDERICKSBURG ISD,1-Regular school,2-No,2-No,–,33-Town: Remote,994,74.19,13.4,9th Grade,12th Grade,High
FREDERICKSBURG MIDDLE,Texas,TX ,4.81984E+11,FREDERICKSBURG ISD,1-Regular school,2-No,2-No,–,33-Town: Remote,686,54.91,12.49,6th Grade,8th Grade,Middle
FREDERICKSBURG PRI,Texas,TX ,4.81984E+11,FREDERICKSBURG ISD,1-Regular school,2-No,2-No,–,33-Town: Remote,548,36.3,15.1,Prekindergarten,1st Grade,Elementary
FREDERICKSON ELEMENTARY,Washington,WA ,5.30048E+11,Bethel School District,1-Regular school,2-No,2-No,–,21-Suburb: Large,601,40.62,14.8,Kindergarten,5th Grade,Elementary
FREDERICKTOWN ELEM.,Missouri,MO ,2.91254E+11,FREDERICKTOWN R-I,1-Regular school,2-No,2-No,2-No,32-Town: Distant,421,39.85,10.56,Prekindergarten,2nd Grade,Elementary
FREDERICKTOWN ELEMENTARY SCHOOL,Ohio,OH ,3.90479E+11,Fredericktown Local,1-Regular school,2-No,–,2-No,42-Rural: Distant,522,26.97,19.35,Kindergarten,5th Grade,Elementary
FREDERICKTOWN HIGH,Missouri,MO ,2.91254E+11,FREDERICKTOWN R-I,1-Regular school,2-No,2-No,2-No,32-Town: Distant,554,39.28,14.1,9th Grade,12th Grade,High
FREDERICKTOWN HIGH SCHOOL,Ohio,OH ,3.90479E+11,Fredericktown Local,1-Regular school,2-No,–,2-No,42-Rural: Distant,315,18.58,16.95,9th Grade,12th Grade,High
FREDERICKTOWN INTERMEDIATE,Missouri,MO ,2.91254E+11,FREDERICKTOWN R-I,1-Regular school,2-No,2-No,2-No,32-Town: Distant,465,29.66,15.68,3rd Grade,5th Grade,Elementary
FREDERICKTOWN MIDDLE SCHOOL,Ohio,OH ,3.90479E+11,Fredericktown Local,1-Regular school,2-No,–,2-No,42-Rural: Distant,332,10.46,31.74,6th Grade,8th Grade,Middle
FREDERIKSEN ELEMENTARY,California,CA ,060001909275,Dublin Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,754,–,†,Kindergarten,5th Grade,Elementary
FREDON TOWNSHIP SCHOOL,New Jersey,NJ ,3.40555E+11,Fredon Township School District,1-Regular school,2-No,†,2-No,41-Rural: Fringe,193,20.8,9.28,Prekindergarten,6th Grade,Elementary
FREDONIA EARLY LEARNING CENTER,KANSAS,KS ,2.00627E+11,Fredonia,1-Regular school,2-No,2-No,–,42-Rural: Distant,70,4.85,14.43,Prekindergarten,Kindergarten,Elementary
FREDONIA EL,Texas,TX ,4.83209E+11,NACOGDOCHES ISD,1-Regular school,2-No,2-No,–,33-Town: Remote,427,28.58,14.94,Prekindergarten,5th Grade,Elementary
FREDONIA ELEMENTARY SCHOOL,New York,NY ,3.61152E+11,FREDONIA CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,408,38,10.74,Kindergarten,4th Grade,Elementary
FREDONIA ELEMENTARY SCHOOL,Arizona,AZ ,040308000241,Fredonia-Moccasin Unified District (4195),1-Regular school,2-No,–,2-No,42-Rural: Distant,122,7.27,16.78,Prekindergarten,6th Grade,Elementary
FREDONIA HIGH SCHOOL,Arizona,AZ ,040308000242,Fredonia-Moccasin Unified District (4195),1-Regular school,2-No,–,2-No,42-Rural: Distant,95,5.34,17.79,7th Grade,12th Grade,High
FREDONIA HIGH SCHOOL,New York,NY ,3.61152E+11,FREDONIA CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,463,51,9.08,9th Grade,12th Grade,High
FREDONIA JR./SR. HIGH SCHOOL,Kansas,KS ,2.00627E+11,Fredonia,1-Regular school,2-No,2-No,–,42-Rural: Distant,311,27.5,11.31,7th Grade,12th Grade,High
FREDONIA MIDDLE SCHOOL,New York,NY ,3.61152E+11,FREDONIA CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,32-Town: Distant,457,49.18,9.29,5th Grade,8th Grade,Middle
FREDRIC W WATSON ELEMENTARY SCHOOL,Nevada,NV ,3.20006E+11,CLARK COUNTY SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,667,36,18.53,Prekindergarten,5th Grade,Elementary
FREDSTROM ELEMENTARY SCHOOL,Nebraska,NE ,3.17284E+11,LINCOLN PUBLIC SCHOOLS,1-Regular school,†,†,2-No,11-City: Large,468,34.86,13.43,Prekindergarten,6th Grade,Elementary
FREE HOME ELEMENTARY SCHOOL,Georgia,GA ,1.30111E+11,Cherokee County,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,276,22.2,12.43,Prekindergarten,5th Grade,Elementary
FREE HORIZON MONTESSORI,Colorado,CO ,080480001920,Jefferson County School District No. R-1,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,457,24.19,18.89,Prekindergarten,8th Grade,Elementary
FREE ORCHARDS ELEMENTARY SCHOOL,Oregon,OR ,4.10002E+11,Hillsboro SD 1J,1-Regular school,2-No,†,–,21-Suburb: Large,365,18.2,20.05,Kindergarten,6th Grade,Elementary
FREEBURG COMMUNITY HIGH SCH,Illinois,IL ,1.71584E+11,Freeburg CHSD 77,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,653,41,15.93,9th Grade,12th Grade,High
FREEBURG ELEM SCHOOL,Illinois,IL ,1.71582E+11,Freeburg CCSD 70,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,530,30.9,17.15,3rd Grade,8th Grade,Middle
FREEBURG PRIMARY CENTER,Illinois,IL ,1.71582E+11,Freeburg CCSD 70,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,267,16.25,16.43,Prekindergarten,2nd Grade,Elementary
FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,Florida,FL ,1.20015E+11,BREVARD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,404,26.8,15.07,Kindergarten,6th Grade,Elementary
FREEDOM ACADEMY,Arizona,AZ ,040075502371,Freedom Academy Inc. (89506),1-Regular school,1-Yes,–,2-No,11-City: Large,376,–,†,Kindergarten,8th Grade,Elementary
FREEDOM ACADEMY NORTH,Arizona,AZ ,040075503029,Freedom Academy Inc. (89506),1-Regular school,1-Yes,–,2-No,11-City: Large,0,–,†,Kindergarten,8th Grade,Elementary
FREEDOM ACADEMY OF IMPERIAL VALLEY,California,CA ,061743013071,Holtville Unified,4-Alternative/other school,2-No,2-No,–,31-Town: Fringe,17,–,†,Kindergarten,12th Grade,Other
FREEDOM ACRES SCHOOL,Michigan,MI ,2.68054E+11,Ionia ISD,2-Special education school,2-No,2-No,2-No,41-Rural: Fringe,121,15.95,7.59,Prekindergarten,12th Grade,Other
FREEDOM AREA EL SCH,PENNSYLVANIA,PA ,4.21038E+11,Freedom Area SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,436,31,14.06,Kindergarten,4th Grade,Elementary
FREEDOM AREA MS,PENNSYLVANIA,PA ,4.21038E+11,Freedom Area SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,407,31.2,13.04,5th Grade,8th Grade,Middle
FREEDOM AREA SHS,Pennsylvania,PA ,4.21038E+11,Freedom Area SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,426,32.3,13.19,9th Grade,12th Grade,High
FREEDOM CLASSICAL ACADEMY,NEVADA,NV ,3.2E+11,STATE-SPONSORED CHARTER SCHOOLS,1-Regular school,1-Yes,2-No,2-No,21-Suburb: Large,1094,–,†,Kindergarten,8th Grade,Elementary
FREEDOM CREST ELEMENTARY,California,CA ,062454011185,Menifee Union Elementary,1-Regular school,2-No,2-No,–,21-Suburb: Large,714,–,†,Kindergarten,5th Grade,Elementary
FREEDOM CROSSING ACADEMY,FLORIDA,FL ,1.20174E+11,ST. JOHNS,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,1477,85,17.38,Prekindergarten,8th Grade,Elementary
FREEDOM DISTRICT ELEMENTARY,Maryland,MD ,2.40021E+11,Carroll County Public Schools,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,576,35.9,16.04,Kindergarten,5th Grade,Elementary
FREEDOM EL,Texas,TX ,4.84092E+11,SOUTHSIDE ISD,1-Regular school,2-No,2-No,–,41-Rural: Fringe,558,34.82,16.03,1st Grade,5th Grade,Elementary
FREEDOM EL,Texas,TX ,4.82526E+11,KELLER ISD,1-Regular school,2-No,2-No,–,11-City: Large,582,41.68,13.96,Kindergarten,4th Grade,Elementary
FREEDOM EL,TEXAS,TX ,4.84365E+11,UNITED ISD,1-Regular school,2-No,2-No,–,41-Rural: Fringe,578,39,14.82,Prekindergarten,5th Grade,Elementary
FREEDOM ELEM SCHOOL,Illinois,IL ,1.73174E+11,Plainfield SD 202,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,687,38.5,17.84,Kindergarten,5th Grade,Elementary
FREEDOM ELEM.,Missouri,MO ,2.93144E+11,WAYNESVILLE R-VI,1-Regular school,2-No,2-No,2-No,33-Town: Remote,968,63.5,15.24,Kindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY,Wyoming,WY ,5.60198E+11,Laramie County School District #1,1-Regular school,2-No,†,2-No,23-Suburb: Small,400,25.45,15.72,Kindergarten,6th Grade,Elementary
FREEDOM ELEMENTARY,California,CA ,060003511532,Farmersville Unified,1-Regular school,2-No,2-No,–,22-Suburb: Mid-size,560,–,†,4th Grade,6th Grade,Middle
FREEDOM ELEMENTARY,California,CA ,062949004541,Pajaro Valley Unified,1-Regular school,2-No,2-No,–,13-City: Small,598,–,†,Kindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY,California,CA ,060903010484,Clovis Unified,1-Regular school,2-No,2-No,–,21-Suburb: Large,768,–,†,Kindergarten,6th Grade,Elementary
FREEDOM ELEMENTARY,California,CA ,063867010695,Sylvan Union Elementary,1-Regular school,2-No,2-No,–,12-City: Mid-size,672,–,†,Kindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY,Wisconsin,WI ,5.50492E+11,Freedom Area School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,702,47.12,14.9,Prekindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY - 06,South Dakota,SD ,4.63135E+11,Harrisburg School District 41-2,1-Regular school,†,†,2-No,41-Rural: Fringe,452,31.7,14.26,Kindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,Ohio,OH ,3.90461E+11,Lakota Local,1-Regular school,2-No,–,2-No,21-Suburb: Large,598,24,24.92,3rd Grade,6th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,Kentucky,KY ,2.10075E+11,Bullitt County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,495,30.99,15.97,Prekindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,Arizona,AZ ,040432002489,Liberty Elementary District (4266),1-Regular school,2-No,–,2-No,22-Suburb: Mid-size,670,35.8,18.72,Prekindergarten,8th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,North Dakota,ND ,3.81941E+11,WEST FARGO 6,1-Regular school,†,†,2-No,22-Suburb: Mid-size,532,38.25,13.91,Kindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,Florida,FL ,1.20192E+11,VOLUSIA,1-Regular school,2-No,2-No,2-No,13-City: Small,734,48,15.29,Prekindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,Colorado,CO ,080306006317,Colorado Springs School District No. 11 in the county of E,2-Special education school,2-No,2-No,2-No,11-City: Large,448,26.65,16.81,Prekindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,Florida,FL ,1.20123E+11,MANATEE,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,702,48,14.63,Prekindergarten,5th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,Ohio,OH ,3.90442E+11,Lima City,1-Regular school,2-No,–,2-No,13-City: Small,238,16,14.88,Prekindergarten,4th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,New Hampshire,NH ,3.30312E+11,Freedom School District,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,54,8.8,6.14,Prekindergarten,6th Grade,Elementary
FREEDOM ELEMENTARY SCHOOL,KENTUCKY,KY ,2.10115E+11,Christian County,1-Regular school,2-No,2-No,2-No,32-Town: Distant,718,38.65,18.58,Prekindergarten,6th Grade,Elementary
FREEDOM ES,Oklahoma,OK ,4.01218E+11,FREEDOM,1-Regular school,2-No,†,2-No,43-Rural: Remote,32,8.15,3.93,Prekindergarten,8th Grade,Elementary
FREEDOM ES,Oklahoma,OK ,4.02691E+11,SAPULPA,1-Regular school,2-No,†,2-No,41-Rural: Fringe,387,26.63,14.53,Prekindergarten,5th Grade,Elementary
FREEDOM ES,OKLAHOMA,OK ,4.01725E+11,LAWTON,1-Regular school,2-No,†,2-No,13-City: Small,1175,58.45,20.1,Prekindergarten,5th Grade,Elementary
FREEDOM HIGH,California,CA ,063660007822,Shasta Union High,4-Alternative/other school,2-No,2-No,–,13-City: Small,0,–,†,9th Grade,12th Grade,High
FREEDOM HIGH,New Mexico,NM ,3.50006E+11,ALBUQUERQUE PUBLIC SCHOOLS,4-Alternative/other school,2-No,1-Yes,2-No,11-City: Large,131,12.5,10.48,9th Grade,12th Grade,High
FREEDOM HIGH,California,CA ,062160005726,Liberty Union High,1-Regular school,2-No,2-No,–,21-Suburb: Large,2545,–,†,9th Grade,12th Grade,High
FREEDOM HIGH,Virginia,VA ,5.10225E+11,LOUDOUN CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,2117,161.78,13.09,9th Grade,12th Grade,High
FREEDOM HIGH,Virginia,VA ,5.10313E+11,PRINCE WILLIAM CO PBLC SCHS,1-Regular school,2-No,1-Yes,2-No,21-Suburb: Large,2236,136.37,16.4,9th Grade,12th Grade,High
FREEDOM HIGH,Florida,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,3829,177,21.63,9th Grade,12th Grade,High
FREEDOM HIGH,North Carolina,NC ,3.70048E+11,Burke County Schools,1-Regular school,2-No,2-No,2-No,13-City: Small,1246,67.49,18.46,9th Grade,12th Grade,High
FREEDOM HIGH,Wisconsin,WI ,5.50492E+11,Freedom Area School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,549,38.11,14.41,9th Grade,12th Grade,High
FREEDOM HIGH SCHOOL,Florida,FL ,1.20087E+11,HILLSBOROUGH,1-Regular school,2-No,2-No,2-No,11-City: Large,1811,103.5,17.5,9th Grade,12th Grade,High
FREEDOM HILL ELEM,Virginia,VA ,5.10126E+11,FAIRFAX CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,591,41.77,14.15,Prekindergarten,6th Grade,Elementary
FREEDOM HOME,CALIFORNIA,CA ,060006814039,Golden Valley Unified,4-Alternative/other school,2-No,2-No,–,31-Town: Fringe,19,–,†,Kindergarten,12th Grade,Other
FREEDOM HS,Pennsylvania,PA ,4.20357E+11,Bethlehem Area SD,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1875,107.8,17.39,9th Grade,12th Grade,High
FREEDOM HS,Oklahoma,OK ,4.01218E+11,FREEDOM,1-Regular school,2-No,†,2-No,43-Rural: Remote,15,4.33,3.46,9th Grade,12th Grade,High
FREEDOM INTERMEDIATE,Tennessee,TN ,4.70126E+11,Franklin SSD,1-Regular school,2-No,2-No,2-No,13-City: Small,569,46,12.37,5th Grade,6th Grade,Middle
FREEDOM MIDDLE,Wisconsin,WI ,5.50492E+11,Freedom Area School District,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,326,24.29,13.42,6th Grade,8th Grade,Middle
FREEDOM MIDDLE,Virginia,VA ,5.10364E+11,SPOTSYLVANIA CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,822,56.3,14.6,6th Grade,8th Grade,Middle
FREEDOM MIDDLE,Florida,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1241,68,18.25,6th Grade,8th Grade,Middle
FREEDOM MIDDLE,California,CA ,063348008495,Rosedale Union Elementary,1-Regular school,2-No,2-No,–,11-City: Large,691,–,†,7th Grade,8th Grade,Middle
FREEDOM MIDDLE SCHOOL,Illinois,IL ,1.70609E+11,Berwyn South SD 100,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,631,47.9,13.17,6th Grade,8th Grade,Middle
FREEDOM MIDDLE SCHOOL,Georgia,GA ,1.30111E+11,Cherokee County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1090,70.3,15.5,6th Grade,8th Grade,Middle
FREEDOM MIDDLE SCHOOL,Georgia,GA ,1.30174E+11,DeKalb County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1189,79,15.05,6th Grade,8th Grade,Middle
FREEDOM MIDDLE SCHOOL,Tennessee,TN ,4.70126E+11,Franklin SSD,1-Regular school,2-No,2-No,2-No,13-City: Small,587,48,12.23,7th Grade,8th Grade,Middle
FREEDOM PARK ELEMENTARY,Georgia,GA ,1.30438E+11,Richmond County,1-Regular school,2-No,2-No,2-No,12-City: Mid-size,806,49,16.45,Prekindergarten,8th Grade,Elementary
FREEDOM PREP ACADEMY - MESA,ARIZONA,AZ ,040099903682,Freedom Preparatory Academy (1000979),1-Regular school,1-Yes,†,†,21-Suburb: Large,†,†,†,–,–,Not Reported
FREEDOM PREP CHARTER SCHOOL,New Jersey,NJ ,3.40008E+11,Freedom Prep Charter School,1-Regular school,1-Yes,†,2-No,13-City: Small,868,70,12.4,Kindergarten,12th Grade,Other
FREEDOM PREPARATORY ACADEMY,Utah,UT ,4.90006E+11,Freedom Preparatory Academy,1-Regular school,1-Yes,2-No,2-No,12-City: Mid-size,1360,73.3,18.55,Kindergarten,12th Grade,Other
FREEDOM PREPARATORY ACADEMY,Tennessee,TN ,4.70015E+11,Shelby County,1-Regular school,1-Yes,2-No,2-No,11-City: Large,779,45.7,17.05,6th Grade,12th Grade,High
FREEDOM PREPARATORY ACADEMY - VINEYARD,UTAH,UT ,4.90006E+11,Freedom Preparatory Academy,1-Regular school,1-Yes,2-No,2-No,41-Rural: Fringe,543,27,20.11,Kindergarten,5th Grade,Elementary
FREEDOM PREPARATORY ACADEMY CHARTER ELEMENTARY SCHOOL,TENNESSEE,TN ,4.70015E+11,Achievement School District,1-Regular school,1-Yes,2-No,1-Yes,11-City: Large,588,20,29.4,Prekindergarten,5th Grade,Elementary
FREEDOM PREPARATORY ACADEMY CHARTER SCHOOLS,TENNESSEE,TN ,4.70015E+11,Shelby County,1-Regular school,1-Yes,2-No,2-No,11-City: Large,261,17.3,15.09,6th Grade,9th Grade,Middle
FREEDOM PREPARATORY ACADEMY ELEMENTARY SCHOOL,TENNESSEE,TN ,4.70015E+11,Shelby County,1-Regular school,1-Yes,2-No,2-No,11-City: Large,466,15,31.07,Prekindergarten,5th Grade,Elementary
FREEDOM SCHOOL,Utah,UT ,4.90003E+11,Alpine District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,933,34.44,27.09,Prekindergarten,6th Grade,Elementary
FREEDOM SCHOOL,Utah,UT ,4.9012E+11,Weber District,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,838,36.5,22.96,Kindergarten,6th Grade,Elementary
FREEDOM SHORES ELEMENTARY SCHOOL,Florida,FL ,1.2015E+11,PALM BEACH,1-Regular school,2-No,2-No,2-No,13-City: Small,758,58,13.07,Prekindergarten,5th Grade,Elementary
